Part/Designator,Manufacture Part Number/Seeed SKU,Quantity,Digikey Part Number,Digikey Web Link,Note,,
U1,ADS1015IDGST,1,296-25227-1-ND,http://www.digikey.com/product-detail/en/texas-instruments/ADS1015IDGST/296-25227-1-ND/2174997,,,
X2,SM04B-PASS-TBT(LF)(SN),1,455-2645-1-ND,http://www.digikey.com/product-detail/en/jst-sales-america-inc/SM04B-PASS-TBT(LF)(SN)/455-2645-1-ND/2773441,,,
"B1, B2",BAS 3007A-RPP E6327,2,BAS3007A-RPPE6327INCT-ND,http://www.digikey.com/product-search/en/discrete-semiconductor-products/bridge-rectifiers/1377580?k=BAS+3007A-RPP&pv7=2&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25,,,
"C1, C5",CC0805KKX7R8BB105/302010179,2,311-1456-1-ND,http://www.digikey.com/product-search/en/capacitors/ceramic-capacitors/131083?k=CC0805KKX7R8BB105&pv7=2&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25,1uF 0805,,
"R1, R2, R3, R4",RC0805FR-0710KL/301010361,4,311-10.0KCRCT-ND,http://www.digikey.com/product-search/en/resistors/chip-resistor-surface-mount/65769?k=RC0805FR-0710KL&pv7=2&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25,10k 0805,,
"FB3, FB4",MMZ2012Y152BT000,2,445-1560-1-ND,http://www.digikey.com/product-detail/en/tdk-corporation/MMZ2012Y152BT000/445-1560-1-ND/571890,FERRITE BEAD 1.5 KOHM 0805 1LN,,
"R5, R6",Non-Fit 300 Ohm,2,,,,,
"C3, C4",Non-Fit 220uF,2,493-6096-1-ND,https://www.digikey.jp/product-detail/ja/nichicon/UVR1C221MED1TA/493-6096-1-ND/3438470,7mmで220uFだと耐圧が16Vになっちゃう。25Vだと150uFが最大。経8mmだと220uFで25vある。,,
"JP1, JP2, MS1",Non-Fit,0,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,